"clusterID_integrated.harmony","majorID","colz","majCol","newCol"
0,"neut",NA,yes,"#00BE69"
1,"neut",NA,NA,"#00C08D"
2,"neut",NA,NA,"#00C1AD"
3,"neut",NA,NA,"#00BFC9"
4,"neut",NA,NA,"#00BAE1"
5,"moMac",NA,yes,"#D19400"
6,"neut",NA,NA,"#00B1F4"
7,"neut",NA,NA,"#00A6FF"
8,"tcell",NA,yes,"#FF699E"
9,"nonImm",NA,yes,"#7A97FF"
10,"moMac",NA,NA,"#BB9D00"
11,"nonImm",NA,NA,"#B086FF"
12,"nonImm",NA,NA,"#D475FE"
13,"nonImm",NA,NA,"#ED68EE"
14,"moMac",NA,NA,"#A1A600"
15,"moMac",NA,NA,"#7FAE00"
16,"moMac",NA,NA,"#4CB400"
17,"bcell",NA,yes,"#F17E4F"
18,"bcell",NA,NA,"#E38900"
19,"tcell",NA,NA,"#FB737A"
20,"nonImm",NA,NA,"#FB61D8"
21,"moMac",NA,NA,"#00BA38"
22,"nonImm",NA,NA,"#FF62BD"
