"clusterID_integrated.harmony","majorID","colz","majCol","newCol"
0,"neut",NA,"yes","#32B600"
1,"neut",NA,NA,"#00BB4C"
2,"neut",NA,NA,"#00BF78"
3,"neut",NA,NA,"#00C19C"
4,"moMac",NA,"yes","#E18A00"
5,"neut",NA,NA,"#00C0BB"
6,"tcell",NA,"yes","#FF68A0"
7,"neut",NA,NA,"#00BCD6"
8,"neut",NA,NA,"#00B5ED"
9,"nonImm",NA,"yes","#00AAFD"
10,"moMac",NA,NA,"#CE9500"
11,"nonImm",NA,NA,"#619CFF"
12,"nonImm",NA,NA,"#A38BFF"
13,"nonImm",NA,NA,"#CD79FF"
14,"moMac",NA,NA,"#B79F00"
15,"moMac",NA,NA,"#9AA800"
16,"bcell",NA,"yes","#F07E4D"
17,"moMac",NA,NA,"#74AF00"
18,"tcell",NA,NA,"#FB727B"
19,"nonImm",NA,NA,"#E96AF2"
20,"nonImm",NA,NA,"#F962DB"
21,"nonImm",NA,NA,"#FF62C0"
